                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4753,                 1.4923,                 2.4796,                0.99875,                      1,                  0.995,                0.59124,                 1.4783,                 1.0434,                 1.7181,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.7801,                 1.2172,                 1.7678,                0.99146,                      1,                  0.995,                0.62422,                 1.4149,                 1.0142,                 1.6257,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.7828,                  1.366,                  1.706,                0.99211,                      1,                  0.995,                0.60405,                 1.5456,                 1.0197,                 1.7369,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.3749,                0.98989,                 1.3484,                0.99213,                      1,                  0.995,                0.55612,                 1.6188,                  1.047,                 1.8568,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.3728,                0.94763,                 1.3967,                0.99317,                      1,                  0.995,                0.57884,                 1.5686,                0.95214,                 1.8344,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.2829,                0.89911,                 1.4461,                0.99419,                      1,                  0.995,                0.60465,                 1.4842,                0.87297,                 1.7211,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.4815,                0.86499,                 1.3872,                0.99446,                      1,                  0.995,                0.63264,                 1.3327,                0.84175,                 1.5334,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.3368,                0.91098,                 1.3092,                0.99432,                      1,                  0.995,                0.65047,                 1.2867,                0.81486,                 1.4805,             0.00042812,             0.00042812,             0.00042812
                      9,                   1.17,                0.80786,                 1.2265,                0.99381,                      1,                  0.995,                0.63438,                 1.3338,                0.81401,                 1.4987,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.2067,                0.81717,                 1.2147,                0.99373,                      1,                  0.995,                0.63558,                  1.346,                0.77708,                 1.5068,             0.00052832,             0.00052832,             0.00052832
