epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.394,1.32745,0.82355,1.60745,0.94264,0.97524,0.98539,0.71107,1.03348,0.53091,1.50685,0.00047324,0.00047324,0.00047324
2,221.181,1.02228,0.54037,1.47778,0.97388,0.98326,0.99177,0.73246,0.97703,0.48227,1.4588,0.000864112,0.000864112,0.000864112
3,330.217,0.96988,0.49497,1.42099,0.93858,0.95211,0.99036,0.72198,0.99346,0.51778,1.45828,0.00116924,0.00116924,0.00116924
4,437.705,0.93483,0.46803,1.37988,0.97306,0.97766,0.99154,0.74563,0.95628,0.4721,1.41887,0.00104317,0.00104317,0.00104317
5,545.055,0.89771,0.45308,1.35348,0.98279,0.98892,0.99389,0.76536,0.8611,0.41969,1.32686,0.00091456,0.00091456,0.00091456
6,656.493,0.87251,0.42603,1.31673,0.97618,0.98746,0.99297,0.77619,0.84496,0.41085,1.31643,0.00078595,0.00078595,0.00078595
7,767.618,0.8466,0.4122,1.2886,0.97951,0.99023,0.99358,0.78376,0.86045,0.40342,1.321,0.00065734,0.00065734,0.00065734
8,878.942,0.83101,0.39788,1.28587,0.98008,0.99008,0.99355,0.79916,0.82141,0.37863,1.28798,0.00052873,0.00052873,0.00052873
9,990.381,0.80155,0.38289,1.2578,0.98344,0.98717,0.99364,0.80457,0.79471,0.3658,1.26284,0.00040012,0.00040012,0.00040012
10,1101.66,0.78322,0.36725,1.23225,0.98241,0.98953,0.99364,0.80715,0.78698,0.35385,1.25842,0.00027151,0.00027151,0.00027151
11,1212.77,0.75585,0.35536,1.21951,0.98798,0.98773,0.99374,0.81795,0.76713,0.3468,1.2434,0.0001429,0.0001429,0.0001429
