                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4424,                0.86033,                  1.305,                0.93167,                 0.8907,                 0.9368,                0.50762,                 1.6297,                0.77455,                 1.5304,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.4367,                0.80518,                 1.2972,                0.98931,                0.93467,                0.97559,                0.50908,                 1.6221,                0.95072,                 1.5413,              0.0012941,              0.0012941,              0.0012941
                      3,                  1.485,                0.82805,                 1.3166,                0.95918,                0.94458,                0.97688,                0.52827,                 1.6165,                 0.7968,                 1.5448,              0.0019082,              0.0019082,              0.0019082
                      4,                 1.5274,                0.83898,                 1.3384,                0.94784,                0.91317,                0.94809,                0.47409,                 1.7376,                 0.8172,                 1.6283,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5191,                 0.7996,                 1.3444,                0.86349,                0.82648,                 0.8781,                0.44991,                 1.7127,                  1.185,                 1.5887,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4866,                 0.7976,                 1.3317,                0.90922,                0.80905,                0.89401,                0.45236,                  1.711,                0.89703,                 1.5861,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4991,                0.75895,                 1.3337,                0.96893,                0.94026,                0.97443,                0.51835,                  1.632,                0.73939,                 1.5347,               0.001802,               0.001802,               0.001802
                      8,                 1.4214,                0.72719,                 1.2717,                0.96794,                0.91016,                  0.955,                0.52009,                 1.6813,                0.73431,                 1.5971,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4315,                0.72189,                 1.2832,                0.92571,                 0.8593,                0.92953,                0.49947,                 1.6633,                0.75857,                  1.562,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4137,                0.68388,                 1.2763,                0.96436,                0.95187,                0.98914,                0.55323,                 1.5796,                0.66707,                 1.4931,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.4148,                0.70563,                 1.2852,                0.97355,                 0.9799,                0.99183,                 0.5774,                 1.5366,                0.63998,                 1.4893,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4218,                0.66895,                 1.2781,                0.96857,                0.94975,                0.97211,                0.56047,                 1.5058,                0.63939,                 1.4247,               0.001604,               0.001604,               0.001604
                     13,                 1.3543,                0.66478,                  1.256,                  0.964,                0.94184,                0.97862,                0.57831,                 1.5576,                0.67537,                 1.4464,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.361,                0.65542,                 1.2628,                0.95722,                 0.9196,                0.95039,                0.52574,                 1.5681,                0.64053,                 1.4761,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3704,                0.64172,                  1.256,                0.98317,                0.96482,                 0.9811,                0.55634,                 1.5199,                0.57049,                 1.4505,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3574,                 0.6311,                 1.2544,                0.96863,                 0.9598,                0.98075,                 0.5604,                 1.5711,                0.58156,                 1.4533,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3617,                0.64175,                 1.2447,                0.94623,                0.97271,                0.97452,                0.54397,                 1.5929,                0.59096,                 1.5067,               0.001406,               0.001406,               0.001406
                     18,                 1.3231,                0.61893,                 1.2368,                0.98983,                 0.9781,                0.99238,                0.57981,                  1.478,                0.56608,                 1.3962,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.3217,                0.61115,                 1.2271,                0.97912,                 0.9799,                0.98972,                0.56028,                 1.5305,                0.57662,                 1.4543,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.3654,                0.60324,                 1.2618,                 0.9639,                0.93933,                0.98309,                0.58316,                 1.5147,                0.58563,                  1.441,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2941,                0.58991,                 1.2124,                0.98915,                0.96985,                0.99056,                0.60037,                 1.4958,                0.55193,                 1.4192,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2983,                0.57763,                 1.2281,                 0.9846,                0.96362,                0.98942,                0.59674,                 1.5107,                0.52183,                 1.4182,               0.001208,               0.001208,               0.001208
                     23,                 1.2702,                0.58466,                 1.2026,                0.99329,                0.94975,                0.98262,                0.56394,                 1.5539,                0.54159,                 1.4598,              0.0011684,              0.0011684,              0.0011684
